mt
1156
10000 3
 -49.2787 -68.6278 -65
 -49.5451 -68.6278 -65
 -49.9873 -68.6278 -65
 -50.6364 -68.6278 -65
 -51.2685 -68.6278 -65
 -51.7866 -68.6278 -65
 -51.7866 -68.6278 -65
 -51.787 -68.6278 -65
 -51.9336 -68.6278 -65
 -52.0793 -68.6278 -65
 -52.224 -68.6278 -65
 -52.672 -68.6278 -65
 -53.112 -68.6278 -65
 -53.5432 -68.6278 -65
 -54.4081 -68.6278 -65
 -55.2366 -68.6277 -65
 -56.0299 -68.6277 -65
 -56.7894 -68.6277 -65
 -57.8889 -68.6277 -65
 -58.5246 -68.6277 -65
 -58.5246 -68.6277 -65
 -58.5246 -68.6277 -65
 -58.6904 -68.6277 -65
 -58.8545 -68.6276 -65
 -59.0167 -68.6276 -65
 -59.4787 -68.6276 -65
 -59.9278 -68.6276 -65
 -60.3633 -68.6276 -65
 -61.0415 -68.6276 -65
 -61.6856 -68.6276 -65
 -62.2969 -68.6276 -65
 -62.8772 -68.6277 -65
 -63.7503 -68.6281 -65
 -64.5524 -68.6287 -65
 -64.8838 -68.6291 -65
 -64.8838 -68.6291 -65
 -64.974 -68.6293 -65
 -65.0633 -68.6294 -65
 -65.2247 -68.6297 -65
 -65.3834 -68.63 -65
 -65.6537 -68.6306 -65
 -65.9152 -68.6312 -65
 -66.2952 -68.6323 -65
 -66.3059 -68.6324 -65
 -66.3059 -68.6324 -65
 -66.3712 -68.6326 -65
 -66.4358 -68.6328 -65
 -66.5527 -68.6333 -65
 -66.6679 -68.6337 -65
 -66.8799 -68.6346 -65
 -67.2141 -68.6363 -65
 -67.5324 -68.6381 -65
 -67.8356 -68.6401 -65
 -67.8782 -68.6404 -65
 -67.8782 -68.6404 -65
 -67.9524 -68.6409 -65
 -68.0258 -68.6415 -65
 -68.172 -68.6427 -65
 -68.315 -68.6439 -65
 -68.4547 -68.6452 -65
 -68.591 -68.6465 -65
 -68.7976 -68.6487 -65
 -68.9965 -68.6509 -65
 -69.188 -68.6533 -65
 -69.5516 -68.6584 -65
 -69.8891 -68.6639 -65
 -70.2024 -68.6697 -65
 -70.4934 -68.6758 -65
 -70.764 -68.6823 -65.0001
 -70.7769 -68.6826 -65.0001
 -70.7769 -68.6826 -65.0001
 -70.816 -68.6836 -65.0001
 -70.8547 -68.6846 -65.0001
 -70.929 -68.6866 -65.0001
 -71.0019 -68.6887 -65.0002
 -71.0733 -68.6907 -65.0002
 -71.2102 -68.6948 -65.0003
 -71.41 -68.7012 -65.0005
 -71.427 -68.7018 -65.0006
 -71.427 -68.7018 -65.0006
 -71.4617 -68.7034 -65.0006
 -71.4959 -68.7054 -65.0007
 -71.5643 -68.7104 -65.0008
 -71.6313 -68.7166 -65.001
 -71.6967 -68.724 -65.0011
 -71.8209 -68.7414 -65.0015
 -72.0066 -68.7761 -65.0025
 -72.1789 -68.8182 -65.004
 -72.3386 -68.8663 -65.0064
 -72.4866 -68.9193 -65.01
 -72.6238 -68.9764 -65.0149
